times,gradient-0.05_cross,gradient-0.1_cross,gradient-0.2_cross,gradient-0.5_cross,gradient-0.8_cross,adam-le-4_cross,adag-0.2_cross,,times,gradient-0.05_accuracy,gradient-0.1_accuracy,gradient-0.2_accuracy,gradient-0.5_accuracy,gradient-0.8_accuracy,adam-le-4_accuracy,adag-0.2_accuracy
times_2600,0.34263,0.140025,0.0600633,0.0145124,0.00995528,0.404473,0.458116,,times_2600,0.777778,0.792593,0.903704,0.92963,0.885185,0.685185,0.837037
times_2650,0.33595,0.136639,0.0583286,0.0141301,0.00967846,0.389552,0.45776,,times_2650,0.781482,0.792593,0.903704,0.92963,0.885185,0.681481,0.840741
times_2700,0.329476,0.133371,0.0566727,0.0137655,0.00941509,0.375215,0.45742,,times_2700,0.785185,0.792593,0.903704,0.92963,0.885185,0.681481,0.840741
times_2750,0.323197,0.130214,0.0550907,0.0134173,0.00916428,0.361416,0.457096,,times_2750,0.785185,0.792593,0.903704,0.92963,0.885185,0.688889,0.840741
times_2800,0.317106,0.127165,0.0535783,0.0130846,0.00892516,0.348115,0.456786,,times_2800,0.788889,0.792593,0.903704,0.92963,0.885185,0.696296,0.840741
times_2850,0.311195,0.124218,0.0521316,0.0127663,0.008697,0.335278,0.456489,,times_2850,0.792593,0.8,0.903704,0.92963,0.888889,0.7,0.840741
times_2900,0.305457,0.12137,0.0507468,0.0124617,0.00847908,0.322883,0.456205,,times_2900,0.792593,0.803704,0.903704,0.92963,0.888889,0.703704,0.840741
times_2950,0.299885,0.118617,0.0494204,0.0121699,0.00827076,0.310914,0.455933,,times_2950,0.792593,0.807407,0.907407,0.92963,0.888889,0.703704,0.840741
times_3000,0.294472,0.115954,0.0481494,0.0118902,0.00807146,0.299352,0.455672,,times_3000,0.796296,0.811111,0.907407,0.92963,0.888889,0.707407,0.840741
times_3050,0.289212,0.11338,0.0469308,0.0116218,0.00788061,0.288178,0.455422,,times_3050,0.796296,0.811111,0.907407,0.92963,0.888889,0.714815,0.840741
times_3100,0.2841,0.11089,0.0457618,0.0113641,0.00769772,0.277369,0.455182,,times_3100,0.8,0.811111,0.907407,0.92963,0.888889,0.714815,0.840741
