times,gradient-0.05_cross,gradient-0.1_cross,gradient-0.2_cross,gradient-0.5_cross,gradient-0.8_cross,adam-le-4_cross,adag-0.2_cross,,times,gradient-0.05_accuracy,gradient-0.1_accuracy,gradient-0.2_accuracy,gradient-0.5_accuracy,gradient-0.8_accuracy,adam-le-4_accuracy,adag-0.2_accuracy
times_3050,0.609236,0.395632,0.496174,0.552831,0.0901425,2.83376,0.12027,,times_3050,0.637037,0.781482,0.822222,0.82963,0.874074,0.22963,0.888889
times_3100,0.600919,0.391309,0.493623,0.551348,0.0890136,2.79178,0.118779,,times_3100,0.640741,0.785185,0.822222,0.833333,0.874074,0.237037,0.888889
times_3150,0.592923,0.387105,0.491135,0.549903,0.0879138,2.75116,0.117327,,times_3150,0.648148,0.785185,0.822222,0.833333,0.874074,0.248148,0.888889
times_3200,0.585228,0.383016,0.488706,0.548495,0.0868421,2.71188,0.115912,,times_3200,0.648148,0.785185,0.822222,0.833333,0.874074,0.251852,0.892593
times_3250,0.577818,0.379036,0.486336,0.547122,0.0857973,2.67387,0.114532,,times_3250,0.648148,0.788889,0.825926,0.833333,0.874074,0.259259,0.892593
times_3300,0.570676,0.37516,0.484021,0.545782,0.0847784,2.6371,0.113186,,times_3300,0.648148,0.792593,0.82963,0.833333,0.877778,0.277778,0.892593
times_3350,0.563788,0.371383,0.481759,0.544474,0.0837846,2.60152,0.111873,,times_3350,0.651852,0.792593,0.82963,0.833333,0.877778,0.277778,0.892593
times_3400,0.55714,0.367702,0.479549,0.543197,0.082815,2.56708,0.110592,,times_3400,0.662963,0.792593,0.82963,0.833333,0.877778,0.285185,0.892593
times_3450,0.550718,0.364112,0.477389,0.54195,0.0818686,2.53374,0.109341,,times_3450,0.662963,0.792593,0.82963,0.833333,0.877778,0.288889,0.896296
times_3500,0.544511,0.36061,0.475277,0.540732,0.0809445,2.50145,0.10812,,times_3500,0.662963,0.792593,0.82963,0.833333,0.877778,0.296296,0.896296
times_3550,0.538509,0.357192,0.473211,0.539541,0.080042,2.47018,0.106927,,times_3550,0.681481,0.8,0.833333,0.833333,0.877778,0.303704,0.896296
times_3600,0.5327,0.353855,0.47119,0.538377,0.0791602,2.43988,0.105761,,times_3600,0.688889,0.8,0.837037,0.833333,0.877778,0.311111,0.896296
times_3650,0.527074,0.350596,0.469212,0.537238,0.0782987,2.41052,0.104622,,times_3650,0.707407,0.803704,0.837037,0.833333,0.877778,0.318519,0.896296
times_3700,0.521623,0.347411,0.467275,0.536124,0.0774564,2.38204,0.103508,,times_3700,0.714815,0.811111,0.837037,0.837037,0.877778,0.322222,0.896296
times_3750,0.516338,0.344299,0.465379,0.535033,0.076633,2.35443,0.102418,,times_3750,0.722222,0.811111,0.837037,0.837037,0.877778,0.333333,0.896296
times_3800,0.511212,0.341257,0.463521,0.533966,0.0758277,2.32763,0.101352,,times_3800,0.722222,0.811111,0.837037,0.837037,0.877778,0.344444,0.896296
times_3850,0.506236,0.338282,0.461701,0.53292,0.0750399,2.30161,0.100309,,times_3850,0.722222,0.814815,0.837037,0.837037,0.877778,0.344444,0.896296
times_3900,0.501404,0.335371,0.459918,0.531897,0.0742691,2.27634,0.0992885,,times_3900,0.722222,0.818519,0.837037,0.837037,0.877778,0.344444,0.896296
times_3950,0.496709,0.332524,0.45817,0.530893,0.0735146,2.25179,0.0982891,,times_3950,0.72963,0.822222,0.837037,0.837037,0.881481,0.351852,0.896296
times_4000,0.492145,0.329736,0.456456,0.52991,0.0727759,2.22791,0.0973104,,times_4000,0.733333,0.822222,0.837037,0.837037,0.881481,0.359259,0.896296
times_4050,0.487705,0.327008,0.454775,0.528946,0.0720527,2.20469,0.0963517,,times_4050,0.740741,0.822222,0.837037,0.837037,0.881481,0.37037,0.896296
times_4100,0.483386,0.324336,0.453126,0.528001,0.0713443,2.1821,0.0954124,,times_4100,0.740741,0.822222,0.837037,0.837037,0.881481,0.374074,0.896296
times_4150,0.479181,0.321719,0.451508,0.527074,0.0706503,2.16009,0.0944919,,times_4150,0.740741,0.822222,0.837037,0.837037,0.881481,0.377778,0.896296
times_4200,0.475085,0.319155,0.44992,0.526164,0.0699703,2.13866,0.0935897,,times_4200,0.740741,0.825926,0.837037,0.837037,0.881481,0.377778,0.896296
times_4250,0.471094,0.316642,0.448361,0.525272,0.0693038,2.11776,0.0927051,,times_4250,0.740741,0.825926,0.837037,0.837037,0.881481,0.374074,0.896296
times_4300,0.467203,0.31418,0.446831,0.524396,0.0686505,2.09738,0.0918376,,times_4300,0.740741,0.833333,0.837037,0.837037,0.881481,0.385185,0.896296
times_4350,0.463409,0.311766,0.445329,0.523536,0.0680099,2.07749,0.0909868,,times_4350,0.740741,0.833333,0.837037,0.840741,0.881481,0.388889,0.896296
times_4400,0.459708,0.309398,0.443853,0.522691,0.0673816,2.05807,0.0901521,,times_4400,0.744444,0.833333,0.840741,0.840741,0.881481,0.388889,0.896296
times_4450,0.456095,0.307076,0.442402,0.521862,0.0667654,2.0391,0.0893331,,times_4450,0.744444,0.837037,0.840741,0.840741,0.881481,0.4,0.896296
times_4500,0.452567,0.304799,0.440977,0.521048,0.0661609,2.02056,0.0885293,,times_4500,0.748148,0.837037,0.840741,0.840741,0.881481,0.407407,0.896296
times_4550,0.449121,0.302564,0.439577,0.520247,0.0655676,2.00243,0.0877404,,times_4550,0.751852,0.837037,0.840741,0.840741,0.881481,0.411111,0.9
times_4600,0.445754,0.300371,0.4382,0.51946,0.0649854,1.9847,0.0869658,,times_4600,0.751852,0.837037,0.840741,0.840741,0.881481,0.414815,0.9
times_4650,0.442463,0.298218,0.436847,0.518688,0.0644139,1.96734,0.0862051,,times_4650,0.755556,0.840741,0.840741,0.840741,0.881481,0.422222,0.9
times_4700,0.439244,0.296104,0.435516,0.517928,0.0638528,1.95034,0.0854581,,times_4700,0.759259,0.840741,0.840741,0.840741,0.881481,0.42963,0.9
times_4750,0.436097,0.294029,0.434207,0.517181,0.0633018,1.93369,0.0847243,,times_4750,0.759259,0.840741,0.840741,0.840741,0.881481,0.42963,0.9
times_4800,0.433016,0.29199,0.432919,0.516446,0.0627606,1.91737,0.0840034,,times_4800,0.759259,0.837037,0.840741,0.840741,0.881481,0.437037,0.9
times_4850,0.430001,0.289988,0.431652,0.515723,0.062229,1.90138,0.0832951,,times_4850,0.759259,0.837037,0.840741,0.840741,0.881481,0.437037,0.9
times_4900,0.427049,0.288021,0.430405,0.515013,0.0617067,1.8857,0.082599,,times_4900,0.762963,0.844444,0.840741,0.840741,0.881481,0.440741,0.9
times_4950,0.424158,0.286087,0.429178,0.514313,0.0611935,1.87033,0.0819147,,times_4950,0.762963,0.844444,0.840741,0.840741,0.881481,0.448148,0.9
times_5000,0.421325,0.284187,0.42797,0.513625,0.0606891,1.85524,0.0812421,,times_5000,0.759259,0.844444,0.840741,0.840741,0.881481,0.451852,0.9
times_5050,0.418549,0.282319,0.426781,0.512948,0.0601933,1.84045,0.0805808,,times_5050,0.759259,0.844444,0.840741,0.840741,0.881481,0.451852,0.903704
times_5100,0.415828,0.280482,0.42561,0.512282,0.0597058,1.82592,0.0799304,,times_5100,0.762963,0.848148,0.840741,0.840741,0.881481,0.455556,0.903704
times_5150,0.413159,0.278675,0.424457,0.511626,0.0592265,1.81167,0.0792908,,times_5150,0.766667,0.851852,0.844444,0.840741,0.885185,0.462963,0.903704
times_5200,0.410542,0.276899,0.423321,0.51098,0.0587552,1.79768,0.0786617,,times_5200,0.766667,0.851852,0.844444,0.840741,0.885185,0.462963,0.903704
times_5250,0.407974,0.275151,0.422202,0.510343,0.0582916,1.78395,0.0780428,,times_5250,0.77037,0.851852,0.844444,0.840741,0.885185,0.47037,0.9
times_5300,0.405454,0.273431,0.4211,0.509716,0.0578356,1.77048,0.0774339,,times_5300,0.77037,0.851852,0.844444,0.840741,0.885185,0.477778,0.903704
times_5350,0.40298,0.271738,0.420013,0.5091,0.0573869,1.75724,0.0768347,,times_5350,0.77037,0.851852,0.844444,0.840741,0.885185,0.481481,0.903704
times_5400,0.400552,0.270072,0.418943,0.508492,0.0569454,1.74425,0.076245,,times_5400,0.77037,0.855556,0.844444,0.840741,0.885185,0.492593,0.903704
times_5450,0.398166,0.268432,0.417887,0.507893,0.0565109,1.7315,0.0756645,,times_5450,0.77037,0.855556,0.848148,0.840741,0.885185,0.496296,0.903704
times_5500,0.395824,0.266818,0.416847,0.507303,0.0560833,1.71898,0.0750932,,times_5500,0.766667,0.855556,0.848148,0.840741,0.885185,0.503704,0.903704
times_5550,0.393521,0.265227,0.415821,0.506721,0.0556623,1.70669,0.0745306,,times_5550,0.766667,0.855556,0.848148,0.840741,0.885185,0.511111,0.903704
times_5600,0.391259,0.263661,0.414809,0.506148,0.0552478,1.69462,0.0739767,,times_5600,0.774074,0.855556,0.848148,0.840741,0.885185,0.514815,0.903704
times_5650,0.389035,0.262118,0.413812,0.505584,0.0548397,1.68278,0.0734312,,times_5650,0.777778,0.855556,0.848148,0.840741,0.885185,0.518519,0.9
times_5700,0.386849,0.260598,0.412828,0.505027,0.0544378,1.67115,0.072894,,times_5700,0.777778,0.855556,0.848148,0.840741,0.885185,0.52963,0.9
times_5750,0.384698,0.259101,0.411857,0.504478,0.054042,1.65973,0.0723648,,times_5750,0.777778,0.855556,0.848148,0.840741,0.885185,0.52963,0.9
times_5800,0.382584,0.257625,0.4109,0.503936,0.0536522,1.64852,0.0718435,,times_5800,0.777778,0.855556,0.848148,0.840741,0.885185,0.537037,0.9
times_5850,0.380503,0.25617,0.409955,0.503402,0.0532681,1.63751,0.0713299,,times_5850,0.777778,0.855556,0.848148,0.840741,0.885185,0.544444,0.903704
times_5900,0.378456,0.254736,0.409022,0.502876,0.0528897,1.62671,0.0708238,,times_5900,0.781482,0.855556,0.848148,0.840741,0.885185,0.555556,0.9
times_5950,0.376441,0.253322,0.408102,0.502357,0.0525168,1.6161,0.0703251,,times_5950,0.781482,0.855556,0.848148,0.840741,0.888889,0.562963,0.9
